,Ponderation,Plane,3D,Injection ,Saturation,b (DWI),Observation,
+/- SAG T1 GADO,T1,Sag,,1,,0,,
<MPR Zone>,,,,,,,screenshot,
3 PLANS LOC,,,,,,,loc,
3D DYN 4s ovaire,T1,,3D,1,,,perfusion,
3D DYN EURADVAL,T1,,3D,1,,,perfusion,
3D DYN euradval,T1,,3D,1,,,perfusion,
3Plane Loc,,,,,,,loc,
3-Plane Loc,,,,,,,loc,
Apparent Diffusion Coefficient (mm?/s),,,,,,ADC,,
Apparent Diffusion Coefficient (mm2/s),,,,,,ADC,,
Apparent Diffusion Coefficient (mm≤/s),,,,,,ADC,,
Apparent Diffusion Coefficient (mm≤/s) Jun 27 2014 16-50-03,,,,,,ADC,,
Apparent Diffusion Coefficient (mm≤/s) Sep 25 2014 11-43-18,,,,,,ADC,,
AW electronic film,,,,,,,screenshot,
Ax LAVA Tardif,T1,Ax,3D,1,,,,
AX T2 new 3 MM,T2,Ax,,,,,,
Ax T2 new 3mm,T2,Ax,,,,,,
AX T2 new 3mm,T2,Ax,,,,,,
Ax 2D ganglions,T2,Ax,,,,,,
AX 3D T1,T1,Ax,3D,,,,,
Ax 3D T1,T1,Ax,3D,,,,,
AX 3D T1 FAT SAT,T1,Ax,3D,,1,,,
Ax 3D T1 FS,T1,Ax,3D,,1,,,
AX DIFF B 1200,DWI,Ax,,,,1200,,
AX DIFF B 500,DWI,Ax,,,,500,,
Ax Diff b=1200,DWI,Ax,,,,1200,,
AX DIFF B0,DWI,Ax,,,,0,,
AX diff b0_b1000,DWI,Ax,,,,1000,,
AX diff b0_b1000_ADC,DWI,Ax,,,,ADC,,
AX diff b0_b1200,DWI,Ax,,,,1200,,
AX diff b0_b1200_ADC,DWI,Ax,,,,ADC,,
AX DIFF B1000,DWI,Ax,,,,1000,,
AX DIFF b1000 large,DWI,Ax,,,,1000,,
AX DIFF B1200,DWI,Ax,,,,1200,,
AX DIFF b1200 large,DWI,Ax,,,,1200,,
AX DIFF B1400,DWI,Ax,,,,1400,,
Ax DIFF GATING b1000,DWI,Ax,,,,1000,,
Ax Diff PELVIS,DWI,Ax,,,,,,
AX DIFF PELVIS RESPI LIBREB1000,DWI,Ax,,,,1000,,
AX DIFF PERPEN CORPS,DWI,Ax,,,,,,
AX DIFFUSION b 1000,DWI,Ax,,,,1000,,
Ax DWI,DWI,Ax,,,,,,
Ax DWI B 1000,DWI,Ax,,,,1000,,
Ax DWI b1000,DWI,Ax,,,,1000,,
Ax DWI B1000 abdo trigger,DWI,Ax,,,,1000,,
Ax DWI B1000 pelvis,DWI,Ax,,,,1000,,
Ax DWI B1000 pelvis,DWI,Ax,,,,1000,,
Ax DWI b1000 Tetra,DWI,Ax,,,,1000,,
Ax DWI b1200,DWI,Ax,,,,1200,,
Ax DWI b1200 Tetra,DWI,Ax,,,,1200,,
AX DWI B1300 pelvis,DWI,Ax,,,,1300,,
Ax DWI B1300 pelvis,DWI,Ax,,,,1300,,
AX DWI B300 RESPI LENTE,DWI,Ax,,,,300,,
AX DWI B600 RESPI LENTE,DWI,Ax,,,,600,,
Ax DWI FOCUS b1200 PERP,DWI,Ax,,,,1200,,
Ax DWI sequentiel b600,DWI,Ax,,,,600,,
AX DYN LAVA 10 SEC,T1,Ax,3D,1,,,perfusion,
AX DYN LAVA 5SEC,T1,Ax,3D,1,,,perfusion,
Ax FIESTA FS,mixte,Ax,,1,,,,
Ax FIESTA poussÈe mAx,mixte,Ax,,1,,,,
AX FIESTA REINS,mixte,Ax,,1,,,,
Ax IPOP EXPI,T1,Ax,,,,,,
Ax LAVA DYN,T1,Ax,3D,1,,,perfusion,
Ax LAVA DYN rapide,T1,Ax,3D,1,,,perfusion,
Ax LAVA EXPI,T1,Ax,3D,,,,,
Ax LAVA PerfOVAIRE,T1,Ax,3D,1,,,perfusion,
Ax LAVA PerfOVAIRE TEST,T1,Ax,3D,1,,,perfusion,
Ax LAVA Perfusion Multiphase,T1,Ax,3D,1,,,perfusion,
Ax LAVA Tardif,T1,Ax,3D,1,,,,
Ax LAVA tardif hr,T1,Ax,3D,1,,,,
Ax LAVA-XV tardif,T1,Ax,3D,1,,,,
Ax Perf OVAIRE,T1,Ax,,1,,,perfusion,
Ax Perfusion 3Dfspgr 54c,T1,Ax,3D,1,,,perfusion,
Ax SSFSE,T1,Ax,,,,,,
Ax SSFSE APNEE,T1,Ax,,,,,,
Ax SSFSE APNEE ganglions,T1,Ax,,,,,,
Ax SSFSE GANGLIONS,T1,Ax,,,,,,
Ax T1 FSE,T1,Ax,,,,,,
Ax T1 FSE fatsat,T1,Ax,,,1,,,
AX T1 FSPGR,T1,Ax,,,,,,
Ax T1 FSPGR ABDO,T1,Ax,,,,,,
AX T1 FSPGR APNEE,T1,Ax,,,,,,
Ax T1 FSPGR Apnee,T1,Ax,,,,,,
Ax T1 FSPGR Apnee BAS,T1,Ax,,,,,,
Ax T1 FSPGR Apnee GADO,T1,Ax,,1,,,,
Ax T1 FSPGR Apnee gado,T1,Ax,,1,,,,
AX T1 FSPGR APNEE GADO,T1,Ax,,1,,,,
Ax T1 FSPGR Apnee HAUT,T1,Ax,,,,,,
Ax T1 FSPGR Apnee HAUT GADO,T1,Ax,,1,,,,
AX T1 FSPGR FS,T1,Ax,,,1,,,
Ax T1 FSPGR FS Apnee,T1,Ax,,,1,,,
Ax T1 FSPGR FS Apnee BAS GADO,T1,Ax,,1,1,,,
Ax T1 FSPGR FS Apnee gado,T1,Ax,,1,1,,,
Ax T1 FSPGR FS Apnee GADO,T1,Ax,,1,1,,,
Ax T1 FSPGR FS ApneeGADO,T1,Ax,,1,1,,,
Ax T1 FSPGR FS ABDO,T1,Ax,,,1,,,
AX T1 FSPGR FS APNEE,T1,Ax,,,1,,,
Ax T1 FSPGR FS Apnee,T1,Ax,,,1,,,
Ax T1 FSPGR FS Apnee gado,T1,Ax,,1,1,,,
AX T1 FSPGR FS APNEE GADO,T1,Ax,,1,1,,,
Ax T1 FSPGR FS Apnee GADO,T1,Ax,,1,1,,,
Ax T1 FSPGR FS ApneeGADO,T1,Ax,,1,1,,,
AX T1 FSPGR FS GADO,T1,Ax,,1,1,,,
Ax T1 FSPGR FS Gado Apnee,T1,Ax,,1,1,,,
Ax T1 FSPGR FS Gado Apnee GADO HAUT,T1,Ax,,1,1,,,
Ax T1 FSPGR GADO,T1,Ax,,1,,,,
Ax T1 FSPGR Gado Apnee,T1,Ax,,1,,,,
Ax T1 FSPGR GADO Apnee,T1,Ax,,1,,,,
AX T1 FSPGR PERF,T1,Ax,,1,,,perfusion,
Ax T1 FSPGR Perf 54c 16s,T1,Ax,,1,,,perfusion,
AX T1 FSPGR PERF 54sec 16s,T1,Ax,,1,,,perfusion,
Ax T1 GADO FS,T1,Ax,,1,1,,,
AX T2,T2,Ax,,,,,,
Ax T2,T2,Ax,,,,,,
Ax T2 ABDO PELVIS,T2,Ax,,,,,,
AX T2 3mm,T2,Ax,,,,,,
Ax T2 4mm NEW,T2,Ax,,,,,,
